001-TIME,002-E-El,003-E-Mag,004-E-phi,005-E-psi,006-E-pot
1.89306026319755E-009,7.06041223348341E+011,3.38677707008839E+011,0.00000000000000E+000,0.00000000000000E+000,1.04471893035718E+012
1.90496773337351E-009,7.34899367054137E+011,3.30537201202157E+011,0.00000000000000E+000,0.00000000000000E+000,1.06543656825629E+012
1.91687520354948E-009,7.63420783340475E+011,3.22826862513148E+011,0.00000000000000E+000,0.00000000000000E+000,1.08624764585362E+012
1.92878267372545E-009,7.91415617697721E+011,3.15598220425870E+011,0.00000000000000E+000,0.00000000000000E+000,1.10701383812359E+012
1.94069014390142E-009,8.18696812175499E+011,3.08899842399072E+011,0.00000000000000E+000,0.00000000000000E+000,1.12759665457457E+012
1.95259761407738E-009,8.45081427570372E+011,3.02776992199288E+011,0.00000000000000E+000,0.00000000000000E+000,1.14785841976966E+012
1.96450508425335E-009,8.70391942179877E+011,2.97271307660398E+011,0.00000000000000E+000,0.00000000000000E+000,1.16766324984027E+012
1.97641255442932E-009,8.94457517577528E+011,2.92420500366016E+011,0.00000000000000E+000,0.00000000000000E+000,1.18687801794354E+012
1.98832002460528E-009,9.17115222066582E+011,2.88258079626677E+011,0.00000000000000E+000,0.00000000000000E+000,1.20537330169326E+012
2.00000000000000E-009,9.37823684961551E+011,2.84872039648390E+011,0.00000000000000E+000,0.00000000000000E+000,1.22269572460994E+012
2.01190747017597E-009,9.57248103362085E+011,2.82154520767853E+011,0.00000000000000E+000,0.00000000000000E+000,1.23940262412994E+012
2.02381494035193E-009,9.74837111845204E+011,2.80198024846758E+011,0.00000000000000E+000,0.00000000000000E+000,1.25503513669196E+012
2.03572241052790E-009,9.90470242536307E+011,2.79017149391983E+011,0.00000000000000E+000,0.00000000000000E+000,1.26948739192829E+012
2.04762988070387E-009,1.00404009674197E+012,2.78621347802523E+011,0.00000000000000E+000,0.00000000000000E+000,1.28266144454449E+012
2.05953735087984E-009,1.01545314007428E+012,2.79014838775750E+011,0.00000000000000E+000,0.00000000000000E+000,1.29446797885003E+012
2.07144482105580E-009,1.02463040128976E+012,2.80196551484227E+011,0.00000000000000E+000,0.00000000000000E+000,1.30482695277398E+012
2.08335229123177E-009,1.03150806943364E+012,2.82160107242421E+011,0.00000000000000E+000,0.00000000000000E+000,1.31366817667606E+012
2.09525976140774E-009,1.03603798461002E+012,2.84893838114286E+011,0.00000000000000E+000,0.00000000000000E+000,1.32093182272431E+012
2.10716723158371E-009,1.03818801846477E+012,2.88380842637348E+011,0.00000000000000E+000,0.00000000000000E+000,1.32656886110212E+012
2.11907470175967E-009,1.03794234126632E+012,2.92599078558921E+011,0.00000000000000E+000,0.00000000000000E+000,1.33054141982524E+012
2.13098217193564E-009,1.03530157329370E+012,2.97521492197953E+011,0.00000000000000E+000,0.00000000000000E+000,1.33282306549166E+012
2.14288964211161E-009,1.03028281908433E+012,3.03116183764231E+011,0.00000000000000E+000,0.00000000000000E+000,1.33339900284856E+012
2.15479711228757E-009,1.02291958395137E+012,3.09346607687768E+011,0.00000000000000E+000,0.00000000000000E+000,1.33226619163914E+012
2.16670458246354E-009,1.01326157304424E+012,3.16171806737716E+011,0.00000000000000E+000,0.00000000000000E+000,1.32943337978195E+012
2.17861205263951E-009,1.00137437409005E+012,3.23546678444446E+011,0.00000000000000E+000,0.00000000000000E+000,1.32492105253450E+012
2.19051952281548E-009,9.87339025812144E+011,3.31422272083042E+011,0.00000000000000E+000,0.00000000000000E+000,1.31876129789519E+012
2.20242699299144E-009,9.71251474867192E+011,3.39746114233490E+011,0.00000000000000E+000,0.00000000000000E+000,1.31099758910068E+012
2.21433446316741E-009,9.53221924968754E+011,3.48462560704616E+011,0.00000000000000E+000,0.00000000000000E+000,1.30168448567337E+012
