001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,022-TempTotal004,DISS
1.97800000000006E-05,2380,17598,17598,6415.39565409421,2.79649618692255E-18
1.98800000000006E-05,2375,17603,17603,6416.58816968871,1.19643875977664E-18
1.99800000000006E-05,2369,17609,17609,6413.23295894589,2.65219698857915E-18
2.00800000000006E-05,2366,17612,17612,6403.94796760205,2.23354617306089E-18
2.01800000000006E-05,2360,17618,17618,6386.09836218122,2.42387073445587E-18
2.02800000000007E-05,2355,17623,17623,6384.6418452188,1.84325035691864E-18
2.03800000000007E-05,2348,17630,17630,6375.43363232478,1.78324408984266E-18
2.04800000000007E-05,2344,17634,17634,6381.01265993831,2.73425696499531E-18
2.05800000000007E-05,2343,17635,17635,6387.41449537821,4.5204754007554E-18
2.06800000000007E-05,2339,17639,17639,6371.74509695903,2.10769965782139E-18
2.07800000000008E-05,2338,17640,17640,6379.66989882436,1.25111618449947E-18
2.08800000000008E-05,2331,17647,17647,6372.42433656249,1.23780135297276E-18
2.09800000000008E-05,2326,17652,17652,6364.14178336266,1.07180116764419E-18
2.10800000000008E-05,2323,17655,17655,6357.43230192553,2.56451614212689E-18
2.11800000000008E-05,2315,17663,17663,6351.35421234517,1.55838923031279E-18
2.12800000000008E-05,2313,17665,17665,6356.54964986208,2.44301426337907E-18
2.13800000000008E-05,2302,17676,17676,6355.15994721888,2.37856385644997E-18
2.14800000000009E-05,2296,17682,17682,6357.5609034185,1.98732087180652E-18
2.15800000000009E-05,2294,17684,17684,6334.31021836723,1.34078366937847E-18
2.16800000000009E-05,2289,17689,17689,6353.3441531927,3.15197914879099E-18
2.17800000000009E-05,2282,17696,17696,6344.67264903555,2.62003682588609E-18
2.18800000000009E-05,2279,17699,17699,6339.73718134713,1.49034195794939E-18
2.19800000000009E-05,2272,17706,17706,6338.68599227147,1.0924327592323E-18
2.20800000000009E-05,2269,17709,17709,6335.06443935959,1.24334277633862E-18
2.2180000000001E-05,2260,17718,17718,6335.5574254429,2.56086165583841E-18
2.2280000000001E-05,2252,17726,17726,6324.58355980043,2.15768587139802E-18
2.2380000000001E-05,2245,17733,17733,6329.22214281025,1.37519116106847E-18
2.2480000000001E-05,2244,17734,17734,6312.22704906688,3.13070763920762E-18
2.2580000000001E-05,2238,17740,17740,6312.53819506026,1.627103538818E-18
2.2680000000001E-05,2231,17747,17747,6308.11664973156,1.71941850621495E-18
2.27800000000011E-05,2224,17754,17754,6314.85300671058,1.31277070610681E-18
2.28800000000011E-05,2215,17763,17763,6291.88056730566,2.83847735484961E-18
2.29800000000011E-05,2209,17769,17769,6291.3880740849,6.19563034326464E-18
2.30800000000011E-05,2205,17773,17773,6286.99718011501,2.74160630326419E-18
2.31800000000011E-05,2201,17777,17777,6282.95801007118,1.5928045269854E-18
2.32800000000011E-05,2193,17785,17785,6289.37789015813,1.59648524639636E-18
2.33800000000012E-05,2189,17789,17789,6296.50273677257,3.49688846610967E-18
2.34800000000012E-05,2185,17793,17793,6294.25585143658,9.91246604798489E-19
2.35800000000012E-05,2184,17794,17794,6300.73503559644,1.18390153417214E-18
2.36800000000012E-05,2178,17800,17800,6286.83383482007,1.71544068924877E-18
2.37800000000012E-05,2177,17801,17801,6280.77899775805,1.2771481666528E-18
2.38800000000012E-05,2174,17804,17804,6291.53176085819,3.10451410766545E-18
2.39800000000013E-05,2169,17809,17809,6275.86209654512,2.37412559811117E-18
2.40800000000013E-05,2167,17811,17811,6276.21905597796,2.28934080552748E-18
2.41800000000013E-05,2160,17818,17818,6282.34386317751,5.35180169747547E-19
